LR table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,ACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GOTO,,,,,,,,,,,,
,.,const,ident,=,number,comma,;,var,procedure,:=,call,?,!,begin,end,if,then,while,do,odd,#,<,<=,>,>=,+,-,*,/,(,),$,program,block,const_declaration,const_declaration_list,var_declaration,var_declaration_list,proceduret,statement,statement_tail,condition,expression,term,factor
50, , , ,r34, , , , , , , , , , , , , , , , ,r34,r34,r34,r34,r34,r34,r34,s119,s120, , , , , , , , , , , , , , , , 
51, , , ,r37, , , , , , , , , , , , , , , , ,r37,r37,r37,r37,r37,r37,r37,r37,r37, , , , , , , , , , , , , , , , 
52, , , ,r38, , , , , , , , , , , , , , , , ,r38,r38,r38,r38,r38,r38,r38,r38,r38, , , , , , , , , , , , , , , , 
53, , ,s78, ,s79, , , , , , , , , , , , , , , , , , , , ,s74,s75, , ,s80, , , , , , , , , , , , ,121,76,77
54, , , , , , , , , , , , , , , , , , ,s122, , , , , , , , , , , , , , , , , , , , , , , , , , 
55, , ,s128, ,s129, , , , , , , , , , , , , , , , , , , , ,s124,s125, , ,s130, , , , , , , , , , , , ,123,126,127
56, , , ,s131, , , , , , , , , , , , , , , , ,s132,s133,s134,s135,s136, , , , , , , , , , , , , , , , , , , , 
57, , , , , ,s21,s22, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,137, , , , , , , 
58,r2, ,r2, , , , ,r2,r2, ,r2,r2,r2,r2, ,r2, ,r2, , , , , , , , , , , , , , , , , , , , , , , , , , , 
59, , ,s138, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
60,r5, ,r5, , , , ,r5,r5, ,r5,r5,r5,r5, ,r5, ,r5, , , , , , , , , , , , , , , , , , , , , , , , , , , 
61, ,s141,r3, , , ,r3,r3,r3, ,r3,r3,r3,r3, ,r3, ,r3, , , , , , , , , , , , , , , ,139,140, , , , , , , , , , 
62,r12, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
63,r29, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
64,r34, , , , , , , , , , , , , , , , , , , , , , , , , , ,s142,s143, , , , , , , , , , , , , , , , 
65,r37, , , , , , , , , , , , , , , , , , , , , , , , , , ,r37,r37, , , , , , , , , , , , , , , , 
66,r38, , , , , , , , , , , , , , , , , , , , , , , , , , ,r38,r38, , , , , , , , , , , , , , , , 
67, , ,s78, ,s79, , , , , , , , , , , , , , , , , , , , ,s74,s75, , ,s80, , , , , , , , , , , , ,144,76,77
68,r30, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
69, , ,s65, ,s66, , , , , , , , , , , , , , , , , , , , , , , , ,s67, , , , , , , , , , , , , ,145,64
70, , ,s65, ,s66, , , , , , , , , , , , , , , , , , , , , , , , ,s67, , , , , , , , , , , , , ,146,64
71, , ,s33, ,s34, , , , , , , , , , , , , , , , , , , , , , , , ,s35, , , , , , , , , , , , , ,147,32
72, , ,s33, ,s34, , , , , , , , , , , , , , , , , , , , , , , , ,s35, , , , , , , , , , , , , ,148,32
73, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,s149, , , , , , , , , , , , , , 
74, , ,s152, ,s153, , , , , , , , , , , , , , , , , , , , , , , , ,s154, , , , , , , , , , , , , ,150,151
75, , ,s152, ,s153, , , , , , , , , , , , , , , , , , , , , , , , ,s154, , , , , , , , , , , , , ,155,151
76, , , , , , , , , , , , , , , , , , , , , , , , , ,s156,s157, , , ,r33, , , , , , , , , , , , , , 
77, , , , , , , , , , , , , , , , , , , , , , , , , ,r34,r34,s158,s159, ,r34, , , , , , , , , , , , , , 
78, , , , , , , , , , , , , , , , , , , , , , , , , ,r37,r37,r37,r37, ,r37, , , , , , , , , , , , , , 
79, , , , , , , , , , , , , , , , , , , , , , , , , ,r38,r38,r38,r38, ,r38, , , , , , , , , , , , , , 
80, , ,s78, ,s79, , , , , , , , , , , , , , , , , , , , ,s74,s75, , ,s80, , , , , , , , , , , , ,160,76,77
81, , , , , , ,s162, , , , , , , ,s161, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
82, , ,s90, ,s91, , , , , , , , , , , , , , , , , , , , ,s86,s87, , ,s92, , , , , , , , , , , , ,163,88,89
83,r13, , , , , ,r13, , , , , , , ,r13, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
84,r14, , , , , ,r14, , , , , , , ,r14, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
85,r15, , , , , ,r15, , , , , , , ,r15, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
86, , ,s166, ,s167, , , , , , , , , , , , , , , , , , , , , , , , ,s168, , , , , , , , , , , , , ,164,165
87, , ,s166, ,s167, , , , , , , , , , , , , , , , , , , , , , , , ,s168, , , , , , , , , , , , , ,169,165
88,r33, , , , , ,r33, , , , , , , ,r33, , , , , , , , , , ,s170,s171, , , , , , , , , , , , , , , , , , 
89,r34, , , , , ,r34, , , , , , , ,r34, , , , , , , , , , ,r34,r34,s172,s173, , , , , , , , , , , , , , , , 
90,r37, , , , , ,r37, , , , , , , ,r37, , , , , , , , , , ,r37,r37,r37,r37, , , , , , , , , , , , , , , , 
91,r38, , , , , ,r38, , , , , , , ,r38, , , , , , , , , , ,r38,r38,r38,r38, , , , , , , , , , , , , , , , 
92, , ,s78, ,s79, , , , , , , , , , , , , , , , , , , , ,s74,s75, , ,s80, , , , , , , , , , , , ,174,76,77
93, , , , , , ,r21, , , , , , , ,r21, , , , , , , , , , , , , , , , , , , , , , , , , ,175, , , , 
94, , , , , , , , , , , , , , , , ,s176, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
95, , , , , , , , , , , , , , , , , , ,s177, , , , , , , , , , , , , , , , , , , , , , , , , , 
96,r19, ,s13, , , , , , , ,s14,s15,s16,s17, ,s18, ,s19, , , , , , , , , , , , , , , , , , , , , ,178, , , , , 
97, , , , , , , , , , , , , , , , ,r22, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
98, , ,s181, ,s182, , , , , , , , , , , , , , , , , , , , , , , , ,s183, , , , , , , , , , , , , ,179,180
99, , ,s181, ,s182, , , , , , , , , , , , , , , , , , , , , , , , ,s183, , , , , , , , , , , , , ,184,180
100, , , , , , , , , , , , , , , , ,r33, , , , , , , , ,s185,s186, , , , , , , , , , , , , , , , , , 
101, , , , , , , , , , , , , , , , ,r34, , , , , , , , ,r34,r34,s187,s188, , , , , , , , , , , , , , , , 
102, , , , , , , , , , , , , , , , ,r37, , , , , , , , ,r37,r37,r37,r37, , , , , , , , , , , , , , , , 
103, , , , , , , , , , , , , , , , ,r38, , , , , , , , ,r38,r38,r38,r38, , , , , , , , , , , , , , , , 
104, , ,s78, ,s79, , , , , , , , , , , , , , , , , , , , ,s74,s75, , ,s80, , , , , , , , , , , , ,189,76,77
105, , ,s102, ,s103, , , , , , , , , , , , , , , , , , , , ,s98,s99, , ,s104, , , , , , , , , , , , ,190,100,101
106, , ,s102, ,s103, , , , , , , , , , , , , , , , , , , , ,s98,s99, , ,s104, , , , , , , , , , , , ,191,100,101
107, , ,s102, ,s103, , , , , , , , , , , , , , , , , , , , ,s98,s99, , ,s104, , , , , , , , , , , , ,192,100,101
108, , ,s102, ,s103, , , , , , , , , , , , , , , , , , , , ,s98,s99, , ,s104, , , , , , , , , , , , ,193,100,101
109, , ,s102, ,s103, , , , , , , , , , , , , , , , , , , , ,s98,s99, , ,s104, , , , , , , , , , , , ,194,100,101
110, , ,s102, ,s103, , , , , , , , , , , , , , , , , , , , ,s98,s99, , ,s104, , , , , , , , , , , , ,195,100,101
111, , , ,r29, , , , , , , , , , , , , , , , ,r29,r29,r29,r29,r29, , , , , , , , , , , , , , , , , , , , 
112, , , ,r34, , , , , , , , , , , , , , , , ,r34,r34,r34,r34,r34, , ,s196,s197, , , , , , , , , , , , , , , , 
113, , , ,r37, , , , , , , , , , , , , , , , ,r37,r37,r37,r37,r37, , ,r37,r37, , , , , , , , , , , , , , , , 
114, , , ,r38, , , , , , , , , , , , , , , , ,r38,r38,r38,r38,r38, , ,r38,r38, , , , , , , , , , , , , , , , 
115, , ,s78, ,s79, , , , , , , , , , , , , , , , , , , , ,s74,s75, , ,s80, , , , , , , , , , , , ,198,76,77
116, , , ,r30, , , , , , , , , , , , , , , , ,r30,r30,r30,r30,r30, , , , , , , , , , , , , , , , , , , , 
117, , ,s113, ,s114, , , , , , , , , , , , , , , , , , , , , , , , ,s115, , , , , , , , , , , , , ,199,112
118, , ,s113, ,s114, , , , , , , , , , , , , , , , , , , , , , , , ,s115, , , , , , , , , , , , , ,200,112
119, , ,s51, ,s52, , , , , , , , , , , , , , , , , , , , , , , , ,s53, , , , , , , , , , , , , ,201,50
120, , ,s51, ,s52, , , , , , , , , , , , , , , , , , , , , , , , ,s53, , , , , , , , , , , , , ,202,50
121, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,s203, , , , , , , , , , , , , , 
122,r19, ,s13, , , , , , , ,s14,s15,s16,s17, ,s18, ,s19, , , , , , , , , , , , , , , , , , , , , ,204, , , , , 
123, , , , , , , , , , , , , , , , , , ,r22, , , , , , , , , , , , , , , , , , , , , , , , , , 
124, , ,s207, ,s208, , , , , , , , , , , , , , , , , , , , , , , , ,s209, , , , , , , , , , , , , ,205,206
125, , ,s207, ,s208, , , , , , , , , , , , , , , , , , , , , , , , ,s209, , , , , , , , , , , , , ,210,206
126, , , , , , , , , , , , , , , , , , ,r33, , , , , , ,s211,s212, , , , , , , , , , , , , , , , , , 
127, , , , , , , , , , , , , , , , , , ,r34, , , , , , ,r34,r34,s213,s214, , , , , , , , , , , , , , , , 
128, , , , , , , , , , , , , , , , , , ,r37, , , , , , ,r37,r37,r37,r37, , , , , , , , , , , , , , , , 
129, , , , , , , , , , , , , , , , , , ,r38, , , , , , ,r38,r38,r38,r38, , , , , , , , , , , , , , , , 
130, , ,s78, ,s79, , , , , , , , , , , , , , , , , , , , ,s74,s75, , ,s80, , , , , , , , , , , , ,215,76,77
131, , ,s128, ,s129, , , , , , , , , , , , , , , , , , , , ,s124,s125, , ,s130, , , , , , , , , , , , ,216,126,127
132, , ,s128, ,s129, , , , , , , , , , , , , , , , , , , , ,s124,s125, , ,s130, , , , , , , , , , , , ,217,126,127
133, , ,s128, ,s129, , , , , , , , , , , , , , , , , , , , ,s124,s125, , ,s130, , , , , , , , , , , , ,218,126,127
134, , ,s128, ,s129, , , , , , , , , , , , , , , , , , , , ,s124,s125, , ,s130, , , , , , , , , , , , ,219,126,127
135, , ,s128, ,s129, , , , , , , , , , , , , , , , , , , , ,s124,s125, , ,s130, , , , , , , , , , , , ,220,126,127
136, , ,s128, ,s129, , , , , , , , , , , , , , , , , , , , ,s124,s125, , ,s130, , , , , , , , , , , , ,221,126,127
137,r8, ,r8, , , , , ,r8, ,r8,r8,r8,r8, ,r8, ,r8, , , , , , , , , , , , , , , , , , , , , , , , , , , 
138, , , ,s222, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
139, , , , , , ,s223, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
140, , ,r7, , , ,r7,s225,r7, ,r7,r7,r7,r7, ,r7, ,r7, , , , , , , , , , , , , , , , , , ,224, , , , , , , , 
141, , ,s226, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
142, , ,s65, ,s66, , , , , , , , , , , , , , , , , , , , , , , , ,s67, , , , , , , , , , , , , ,227,64
143, , ,s65, ,s66, , , , , , , , , , , , , , , , , , , , , , , , ,s67, , , , , , , , , , , , , ,228,64
144, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,s229, , , , , , , , , , , , , , 
145,r31, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
146,r32, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
147,r35, , , , , , , , , , , , , , , , , , , , , , , , ,r35,r35, , , , , , , , , , , , , , , , , , 
148,r36, , , , , , , , , , , , , , , , , , , , , , , , ,r36,r36, , , , , , , , , , , , , , , , , , 
149,r39, , , , , , , , , , , , , , , , , , , , , , , , ,r39,r39,r39,r39, , , , , , , , , , , , , , , , 
150, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,r29, , , , , , , , , , , , , , 
151, , , , , , , , , , , , , , , , , , , , , , , , , , , ,s230,s231, ,r34, , , , , , , , , , , , , , 
152, , , , , , , , , , , , , , , , , , , , , , , , , , , ,r37,r37, ,r37, , , , , , , , , , , , , , 
153, , , , , , , , , , , , , , , , , , , , , , , , , , , ,r38,r38, ,r38, , , , , , , , , , , , , , 
154, , ,s78, ,s79, , , , , , , , , , , , , , , , , , , , ,s74,s75, , ,s80, , , , , , , , , , , , ,232,76,77
155, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,r30, , , , , , , , , , , , , , 
156, , ,s152, ,s153, , , , , , , , , , , , , , , , , , , , , , , , ,s154, , , , , , , , , , , , , ,233,151
157, , ,s152, ,s153, , , , , , , , , , , , , , , , , , , , , , , , ,s154, , , , , , , , , , , , , ,234,151
158, , ,s78, ,s79, , , , , , , , , , , , , , , , , , , , , , , , ,s80, , , , , , , , , , , , , ,235,77
159, , ,s78, ,s79, , , , , , , , , , , , , , , , , , , , , , , , ,s80, , , , , , , , , , , , , ,236,77
160, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,s237, , , , , , , , , , , , , , 
161,r16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
162, , ,s239, , , ,r19, , , ,s240,s241,s242,s243,r19,s244, ,s245, , , , , , , , , , , , , , , , , , , , , ,238, , , , , 
163,r12, , , , , ,r12, , , , , , , ,r12, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
164,r29, , , , , ,r29, , , , , , , ,r29, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
165,r34, , , , , ,r34, , , , , , , ,r34, , , , , , , , , , , , ,s246,s247, , , , , , , , , , , , , , , , 
166,r37, , , , , ,r37, , , , , , , ,r37, , , , , , , , , , , , ,r37,r37, , , , , , , , , , , , , , , , 
167,r38, , , , , ,r38, , , , , , , ,r38, , , , , , , , , , , , ,r38,r38, , , , , , , , , , , , , , , , 
168, , ,s78, ,s79, , , , , , , , , , , , , , , , , , , , ,s74,s75, , ,s80, , , , , , , , , , , , ,248,76,77
169,r30, , , , , ,r30, , , , , , , ,r30, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
170, , ,s166, ,s167, , , , , , , , , , , , , , , , , , , , , , , , ,s168, , , , , , , , , , , , , ,249,165
171, , ,s166, ,s167, , , , , , , , , , , , , , , , , , , , , , , , ,s168, , , , , , , , , , , , , ,250,165
172, , ,s90, ,s91, , , , , , , , , , , , , , , , , , , , , , , , ,s92, , , , , , , , , , , , , ,251,89
173, , ,s90, ,s91, , , , , , , , , , , , , , , , , , , , , , , , ,s92, , , , , , , , , , , , , ,252,89
174, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,s253, , , , , , , , , , , , , , 
175, , , , , , ,s162, , , , , , , ,s254, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
