LR table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,ACTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GOTO,,,,,,,,,,,,
,.,const,ident,=,number,comma,;,var,procedure,:=,call,?,!,begin,end,if,then,while,do,odd,#,<,<=,>,>=,+,-,*,/,(,),$,program,block,const_declaration,const_declaration_list,var_declaration,var_declaration_list,proceduret,statement,statement_tail,condition,expression,term,factor
225, , ,s278, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
226, , , ,s279, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
227,r35, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
228,r36, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
229,r39, , , , , , , , , , , , , , , , , , , , , , , , , , ,r39,r39, , , , , , , , , , , , , , , , 
230, , ,s152, ,s153, , , , , , , , , , , , , , , , , , , , , , , , ,s154, , , , , , , , , , , , , ,280,151
231, , ,s152, ,s153, , , , , , , , , , , , , , , , , , , , , , , , ,s154, , , , , , , , , , , , , ,281,151
232, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,s282, , , , , , , , , , , , , , 
233, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,r31, , , , , , , , , , , , , , 
234, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,r32, , , , , , , , , , , , , , 
235, , , , , , , , , , , , , , , , , , , , , , , , , ,r35,r35, , , ,r35, , , , , , , , , , , , , , 
236, , , , , , , , , , , , , , , , , , , , , , , , , ,r36,r36, , , ,r36, , , , , , , , , , , , , , 
237, , , , , , , , , , , , , , , , , , , , , , , , , ,r39,r39,r39,r39, ,r39, , , , , , , , , , , , , , 
238, , , , , , ,r20, , , , , , , ,r20, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
239, , , , , , , , , ,s283, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
240, , ,s284, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
241, , ,s285, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
242, , ,s291, ,s292, , , , , , , , , , , , , , , , , , , , ,s287,s288, , ,s293, , , , , , , , , , , , ,286,289,290
243, , ,s239, , , ,r19, , , ,s240,s241,s242,s243,r19,s244, ,s245, , , , , , , , , , , , , , , , , , , , , ,294, , , , , 
244, , ,s51, ,s52, , , , , , , , , , , , , , ,s45, , , , , ,s47,s48, , ,s53, , , , , , , , , , , ,295,46,49,50
245, , ,s51, ,s52, , , , , , , , , , , , , , ,s55, , , , , ,s47,s48, , ,s53, , , , , , , , , , , ,296,56,49,50
246, , ,s166, ,s167, , , , , , , , , , , , , , , , , , , , , , , , ,s168, , , , , , , , , , , , , ,297,165
247, , ,s166, ,s167, , , , , , , , , , , , , , , , , , , , , , , , ,s168, , , , , , , , , , , , , ,298,165
248, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,s299, , , , , , , , , , , , , , 
249,r31, , , , , ,r31, , , , , , , ,r31, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
250,r32, , , , , ,r32, , , , , , , ,r32, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
251,r35, , , , , ,r35, , , , , , , ,r35, , , , , , , , , , ,r35,r35, , , , , , , , , , , , , , , , , , 
252,r36, , , , , ,r36, , , , , , , ,r36, , , , , , , , , , ,r36,r36, , , , , , , , , , , , , , , , , , 
253,r39, , , , , ,r39, , , , , , , ,r39, , , , , , , , , , ,r39,r39,r39,r39, , , , , , , , , , , , , , , , 
254,r16, , , , , ,r16, , , , , , , ,r16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
255,r17, , , , , ,r17, , , , , , , ,r17, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
256,r18, , , , , ,r18, , , , , , , ,r18, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
257, , ,s181, ,s182, , , , , , , , , , , , , , , , , , , , , , , , ,s183, , , , , , , , , , , , , ,300,180
258, , ,s181, ,s182, , , , , , , , , , , , , , , , , , , , , , , , ,s183, , , , , , , , , , , , , ,301,180
259, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,s302, , , , , , , , , , , , , , 
260, , , , , , , , , , , , , , , , ,r31, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
261, , , , , , , , , , , , , , , , ,r32, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
262, , , , , , , , , , , , , , , , ,r35, , , , , , , , ,r35,r35, , , , , , , , , , , , , , , , , , 
263, , , , , , , , , , , , , , , , ,r36, , , , , , , , ,r36,r36, , , , , , , , , , , , , , , , , , 
264, , , , , , , , , , , , , , , , ,r39, , , , , , , , ,r39,r39,r39,r39, , , , , , , , , , , , , , , , 
265, , , ,r35, , , , , , , , , , , , , , , , ,r35,r35,r35,r35,r35, , , , , , , , , , , , , , , , , , , , 
266, , , ,r36, , , , , , , , , , , , , , , , ,r36,r36,r36,r36,r36, , , , , , , , , , , , , , , , , , , , 
267, , , ,r39, , , , , , , , , , , , , , , , ,r39,r39,r39,r39,r39, , ,r39,r39, , , , , , , , , , , , , , , , 
268, , ,s207, ,s208, , , , , , , , , , , , , , , , , , , , , , , , ,s209, , , , , , , , , , , , , ,303,206
269, , ,s207, ,s208, , , , , , , , , , , , , , , , , , , , , , , , ,s209, , , , , , , , , , , , , ,304,206
270, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,s305, , , , , , , , , , , , , , 
271, , , , , , , , , , , , , , , , , , ,r31, , , , , , , , , , , , , , , , , , , , , , , , , , 
272, , , , , , , , , , , , , , , , , , ,r32, , , , , , , , , , , , , , , , , , , , , , , , , , 
273, , , , , , , , , , , , , , , , , , ,r35, , , , , , ,r35,r35, , , , , , , , , , , , , , , , , , 
274, , , , , , , , , , , , , , , , , , ,r36, , , , , , ,r36,r36, , , , , , , , , , , , , , , , , , 
275, , , , , , , , , , , , , , , , , , ,r39, , , , , , ,r39,r39,r39,r39, , , , , , , , , , , , , , , , 
276, , , , , ,s59,s60, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,306, , , , , , , , , 
277, , ,s309, , , ,r19, ,s308, ,s310,s311,s312,s313, ,s314, ,s315, , , , , , , , , , , , , , , , , , , , , ,307, , , , , 
278, , , , , ,s317,s318, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,316, , , , , , , 
279, , , , ,s319, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
280, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,r35, , , , , , , , , , , , , , 
281, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,r36, , , , , , , , , , , , , , 
282, , , , , , , , , , , , , , , , , , , , , , , , , , , ,r39,r39, ,r39, , , , , , , , , , , , , , 
283, , ,s291, ,s292, , , , , , , , , , , , , , , , , , , , ,s287,s288, , ,s293, , , , , , , , , , , , ,320,289,290
284, , , , , , ,r13, , , , , , , ,r13, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
285, , , , , , ,r14, , , , , , , ,r14, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
286, , , , , , ,r15, , , , , , , ,r15, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
287, , ,s323, ,s324, , , , , , , , , , , , , , , , , , , , , , , , ,s325, , , , , , , , , , , , , ,321,322
288, , ,s323, ,s324, , , , , , , , , , , , , , , , , , , , , , , , ,s325, , , , , , , , , , , , , ,326,322
289, , , , , , ,r33, , , , , , , ,r33, , , , , , , , , , ,s327,s328, , , , , , , , , , , , , , , , , , 
290, , , , , , ,r34, , , , , , , ,r34, , , , , , , , , , ,r34,r34,s329,s330, , , , , , , , , , , , , , , , 
291, , , , , , ,r37, , , , , , , ,r37, , , , , , , , , , ,r37,r37,r37,r37, , , , , , , , , , , , , , , , 
292, , , , , , ,r38, , , , , , , ,r38, , , , , , , , , , ,r38,r38,r38,r38, , , , , , , , , , , , , , , , 
293, , ,s78, ,s79, , , , , , , , , , , , , , , , , , , , ,s74,s75, , ,s80, , , , , , , , , , , , ,331,76,77
294, , , , , , ,r21, , , , , , , ,r21, , , , , , , , , , , , , , , , , , , , , , , , , ,332, , , , 
295, , , , , , , , , , , , , , , , ,s333, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
296, , , , , , , , , , , , , , , , , , ,s334, , , , , , , , , , , , , , , , , , , , , , , , , , 
297,r35, , , , , ,r35, , , , , , , ,r35, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
298,r36, , , , , ,r36, , , , , , , ,r36, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
299,r39, , , , , ,r39, , , , , , , ,r39, , , , , , , , , , , , ,r39,r39, , , , , , , , , , , , , , , , 
300, , , , , , , , , , , , , , , , ,r35, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
301, , , , , , , , , , , , , , , , ,r36, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
302, , , , , , , , , , , , , , , , ,r39, , , , , , , , , , ,r39,r39, , , , , , , , , , , , , , , , 
303, , , , , , , , , , , , , , , , , , ,r35, , , , , , , , , , , , , , , , , , , , , , , , , , 
304, , , , , , , , , , , , , , , , , , ,r36, , , , , , , , , , , , , , , , , , , , , , , , , , 
305, , , , , , , , , , , , , , , , , , ,r39, , , , , , , , ,r39,r39, , , , , , , , , , , , , , , , 
306,r4, ,r4, , , , ,r4,r4, ,r4,r4,r4,r4, ,r4, ,r4, , , , , , , , , , , , , , , , , , , , , , , , , , , 
307, , , , , , ,r1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
308, , ,s335, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
309, , , , , , , , , ,s336, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
310, , ,s337, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
311, , ,s338, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
312, , ,s344, ,s345, , , , , , , , , , , , , , , , , , , , ,s340,s341, , ,s346, , , , , , , , , , , , ,339,342,343
313, , ,s239, , , ,r19, , , ,s240,s241,s242,s243,r19,s244, ,s245, , , , , , , , , , , , , , , , , , , , , ,347, , , , , 
314, , ,s51, ,s52, , , , , , , , , , , , , , ,s45, , , , , ,s47,s48, , ,s53, , , , , , , , , , , ,348,46,49,50
315, , ,s51, ,s52, , , , , , , , , , , , , , ,s55, , , , , ,s47,s48, , ,s53, , , , , , , , , , , ,349,56,49,50
316, , ,r6, , , ,r6, ,r6, ,r6,r6,r6,r6, ,r6, ,r6, , , , , , , , , , , , , , , , , , , , , , , , , , , 
317, , ,s350, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
318, , ,r9, , , ,r9, ,r9, ,r9,r9,r9,r9, ,r9, ,r9, , , , , , , , , , , , , , , , , , , , , , , , , , , 
319, , , , , ,s352,s353, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,351, , , , , , , , , 
320, , , , , , ,r12, , , , , , , ,r12, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
321, , , , , , ,r29, , , , , , , ,r29, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
322, , , , , , ,r34, , , , , , , ,r34, , , , , , , , , , , , ,s354,s355, , , , , , , , , , , , , , , , 
323, , , , , , ,r37, , , , , , , ,r37, , , , , , , , , , , , ,r37,r37, , , , , , , , , , , , , , , , 
324, , , , , , ,r38, , , , , , , ,r38, , , , , , , , , , , , ,r38,r38, , , , , , , , , , , , , , , , 
325, , ,s78, ,s79, , , , , , , , , , , , , , , , , , , , ,s74,s75, , ,s80, , , , , , , , , , , , ,356,76,77
326, , , , , , ,r30, , , , , , , ,r30, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
327, , ,s323, ,s324, , , , , , , , , , , , , , , , , , , , , , , , ,s325, , , , , , , , , , , , , ,357,322
328, , ,s323, ,s324, , , , , , , , , , , , , , , , , , , , , , , , ,s325, , , , , , , , , , , , , ,358,322
329, , ,s291, ,s292, , , , , , , , , , , , , , , , , , , , , , , , ,s293, , , , , , , , , , , , , ,359,290
330, , ,s291, ,s292, , , , , , , , , , , , , , , , , , , , , , , , ,s293, , , , , , , , , , , , , ,360,290
331, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,s361, , , , , , , , , , , , , , 
332, , , , , , ,s162, , , , , , , ,s362, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
333, , ,s239, , , ,r19, , , ,s240,s241,s242,s243,r19,s244, ,s245, , , , , , , , , , , , , , , , , , , , , ,363, , , , , 
334, , ,s239, , , ,r19, , , ,s240,s241,s242,s243,r19,s244, ,s245, , , , , , , , , , , , , , , , , , , , , ,364, , , , , 
335, , , , , , ,s365, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
336, , ,s344, ,s345, , , , , , , , , , , , , , , , , , , , ,s340,s341, , ,s346, , , , , , , , , , , , ,366,342,343
337, , , , , , ,r13, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
338, , , , , , ,r14, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
339, , , , , , ,r15, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
340, , ,s369, ,s370, , , , , , , , , , , , , , , , , , , , , , , , ,s371, , , , , , , , , , , , , ,367,368
341, , ,s369, ,s370, , , , , , , , , , , , , , , , , , , , , , , , ,s371, , , , , , , , , , , , , ,372,368
342, , , , , , ,r33, , , , , , , , , , , , , , , , , , ,s373,s374, , , , , , , , , , , , , , , , , , 
343, , , , , , ,r34, , , , , , , , , , , , , , , , , , ,r34,r34,s375,s376, , , , , , , , , , , , , , , , 
344, , , , , , ,r37, , , , , , , , , , , , , , , , , , ,r37,r37,r37,r37, , , , , , , , , , , , , , , , 
345, , , , , , ,r38, , , , , , , , , , , , , , , , , , ,r38,r38,r38,r38, , , , , , , , , , , , , , , , 
346, , ,s78, ,s79, , , , , , , , , , , , , , , , , , , , ,s74,s75, , ,s80, , , , , , , , , , , , ,377,76,77
347, , , , , , ,r21, , , , , , , ,r21, , , , , , , , , , , , , , , , , , , , , , , , , ,378, , , , 
348, , , , , , , , , , , , , , , , ,s379, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
349, , , , , , , , , , , , , , , , , , ,s380, , , , , , , , , , , , , , , , , , , , , , , , , , 
350, , , , , ,s317,s318, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,381, , , , , , , 
351, , ,r2, , , ,r2,r2,r2, ,r2,r2,r2,r2, ,r2, ,r2, , , , , , , , , , , , , , , , , , , , , , , , , , , 
352, , ,s382, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
353, , ,r5, , , ,r5,r5,r5, ,r5,r5,r5,r5, ,r5, ,r5, , , , , , , , , , , , , , , , , , , , , , , , , , , 
354, , ,s323, ,s324, , , , , , , , , , , , , , , , , , , , , , , , ,s325, , , , , , , , , , , , , ,383,322
355, , ,s323, ,s324, , , , , , , , , , , , , , , , , , , , , , , , ,s325, , , , , , , , , , , , , ,384,322
356, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,s385, , , , , , , , , , , , , , 
357, , , , , , ,r31, , , , , , , ,r31, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
358, , , , , , ,r32, , , , , , , ,r32, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
359, , , , , , ,r35, , , , , , , ,r35, , , , , , , , , , ,r35,r35, , , , , , , , , , , , , , , , , , 
360, , , , , , ,r36, , , , , , , ,r36, , , , , , , , , , ,r36,r36, , , , , , , , , , , , , , , , , , 
361, , , , , , ,r39, , , , , , , ,r39, , , , , , , , , , ,r39,r39,r39,r39, , , , , , , , , , , , , , , , 
362, , , , , , ,r16, , , , , , , ,r16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
363, , , , , , ,r17, , , , , , , ,r17, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
364, , , , , , ,r18, , , , , , , ,r18, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
365, ,s141,r3, , , ,r3,r3,r3, ,r3,r3,r3,r3, ,r3, ,r3, , , , , , , , , , , , , , , ,386,140, , , , , , , , , , 
366, , , , , , ,r12, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
367, , , , , , ,r29, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
368, , , , , , ,r34, , , , , , , , , , , , , , , , , , , , ,s387,s388, , , , , , , , , , , , , , , , 
369, , , , , , ,r37, , , , , , , , , , , , , , , , , , , , ,r37,r37, , , , , , , , , , , , , , , , 
370, , , , , , ,r38, , , , , , , , , , , , , , , , , , , , ,r38,r38, , , , , , , , , , , , , , , , 
371, , ,s78, ,s79, , , , , , , , , , , , , , , , , , , , ,s74,s75, , ,s80, , , , , , , , , , , , ,389,76,77
372, , , , , , ,r30, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
373, , ,s369, ,s370, , , , , , , , , , , , , , , , , , , , , , , , ,s371, , , , , , , , , , , , , ,390,368
374, , ,s369, ,s370, , , , , , , , , , , , , , , , , , , , , , , , ,s371, , , , , , , , , , , , , ,391,368
375, , ,s344, ,s345, , , , , , , , , , , , , , , , , , , , , , , , ,s346, , , , , , , , , , , , , ,392,343
376, , ,s344, ,s345, , , , , , , , , , , , , , , , , , , , , , , , ,s346, , , , , , , , , , , , , ,393,343
377, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,s394, , , , , , , , , , , , , , 
378, , , , , , ,s162, , , , , , , ,s395, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
379, , ,s309, , , ,r19, , , ,s310,s311,s312,s313, ,s314, ,s315, , , , , , , , , , , , , , , , , , , , , ,396, , , , , 
380, , ,s309, , , ,r19, , , ,s310,s311,s312,s313, ,s314, ,s315, , , , , , , , , , , , , , , , , , , , , ,397, , , , , 
381, , ,r8, , , ,r8, ,r8, ,r8,r8,r8,r8, ,r8, ,r8, , , , , , , , , , , , , , , , , , , , , , , , , , , 
382, , , ,s398, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
383, , , , , , ,r35, , , , , , , ,r35, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
384, , , , , , ,r36, , , , , , , ,r36, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
385, , , , , , ,r39, , , , , , , ,r39, , , , , , , , , , , , ,r39,r39, , , , , , , , , , , , , , , , 
386, , , , , , ,s399, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
387, , ,s369, ,s370, , , , , , , , , , , , , , , , , , , , , , , , ,s371, , , , , , , , , , , , , ,400,368
388, , ,s369, ,s370, , , , , , , , , , , , , , , , , , , , , , , , ,s371, , , , , , , , , , , , , ,401,368
389, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,s402, , , , , , , , , , , , , , 
390, , , , , , ,r31, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
391, , , , , , ,r32, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
392, , , , , , ,r35, , , , , , , , , , , , , , , , , , ,r35,r35, , , , , , , , , , , , , , , , , , 
393, , , , , , ,r36, , , , , , , , , , , , , , , , , , ,r36,r36, , , , , , , , , , , , , , , , , , 
394, , , , , , ,r39, , , , , , , , , , , , , , , , , , ,r39,r39,r39,r39, , , , , , , , , , , , , , , , 
395, , , , , , ,r16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
396, , , , , , ,r17, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
397, , , , , , ,r18, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
398, , , , ,s403, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
399, , ,r10, , , ,r10, ,r10, ,r10,r10,r10,r10, ,r10, ,r10, , , , , , , , , , , , , , , , , , , , , , , , , , , 
400, , , , , , ,r35, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
401, , , , , , ,r36, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
402, , , , , , ,r39, , , , , , , , , , , , , , , , , , , , ,r39,r39, , , , , , , , , , , , , , , , 
403, , , , , ,s352,s353, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,404, , , , , , , , , 
404, , ,r4, , , ,r4,r4,r4, ,r4,r4,r4,r4, ,r4, ,r4, , , , , , , , , , , , , , , , , , , , , , , , , , , 
405, , , , , , , , , , , , , , , , , , ,s443, , , , , , , , , , , , , , , , , , , , , , , , , , 
406, , , , , ,s363,s364, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,444, , , , , , , 
407, , ,r2, , , ,r2,r2,r2, ,r2,r2,r2,r2, ,r2, ,r2, , , , , , , , , , , , , , , , , , , , , , , , , , , 
408, , ,s445, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
409, , ,r5, , , ,r5,r5,r5, ,r5,r5,r5,r5, ,r5, ,r5, , , , , , , , , , , , , , , , , , , , , , , , , , , 
410, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,r39, , , , , , , , , , , , , , 
411, , ,s447, ,s448, , , , , , , , , , , , , , , , , , , , , , , , ,s449, , , , , , , , , , , , , , ,446
412, , ,s447, ,s448, , , , , , , , , , , , , , , , , , , , , , , , ,s449, , , , , , , , , , , , , , ,450
413, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,s451, , , , , , , , , , , , , , 
414, , , , , , ,r31, , , , , , , ,r31, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
415, , , , , , ,r32, , , , , , , ,r32, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
416, , , , , , ,r35, , , , , , , ,r35, , , , , , , , , , ,r35,r35, , , , , , , , , , , , , , , , , , 
417, , , , , , ,r37, , , , , , , ,r37, , , , , , , , , , ,r37,r37, , , , , , , , , , , , , , , , , , 
418, , , , , , ,r38, , , , , , , ,r38, , , , , , , , , , ,r38,r38, , , , , , , , , , , , , , , , , , 
419, , ,s78, ,s79, , , , , , , , , , , , , , , , , , , , ,s74,s75, , ,s80, , , , , , , , , , , , ,452,76,77
420, , , , , , ,r36, , , , , , , ,r36, , , , , , , , , , ,r36,r36, , , , , , , , , , , , , , , , , , 
421, , , , , , ,r39, , , , , , , ,r39, , , , , , , , , , ,r39,r39,r39,r39, , , , , , , , , , , , , , , , 
422, , , , , , ,r16, , , , , , , ,r16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
423, , , , , , ,r17, , , , , , , ,r17, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
424, , , , , , ,r18, , , , , , , ,r18, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
425,r39, , , , , ,r39, , , , , , , ,r39, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
426, , , , , , , , , , , , , , , , ,r39, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
427, , , , , , , , , , , , , , , , , , ,r39, , , , , , , , , , , , , , , , , , , , , , , , , , 
428, ,s141,r3, , , ,r3,r3,r3, ,r3,r3,r3,r3, ,r3, ,r3, , , , , , , , , , , , , , , ,453,140, , , , , , , , , , 
429, , , , , , ,r12, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
430, , , , , , ,r29, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
431, , , , , , ,r34, , , , , , , , , , , , , , , , , , , , ,s454,s455, , , , , , , , , , , , , , , , 
432, , , , , , ,r37, , , , , , , , , , , , , , , , , , , , ,r37,r37, , , , , , , , , , , , , , , , 
433, , , , , , ,r38, , , , , , , , , , , , , , , , , , , , ,r38,r38, , , , , , , , , , , , , , , , 
434, , ,s78, ,s79, , , , , , , , , , , , , , , , , , , , ,s74,s75, , ,s80, , , , , , , , , , , , ,456,76,77
435, , , , , , ,r30, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
436, , ,s432, ,s433, , , , , , , , , , , , , , , , , , , , , , , , ,s434, , , , , , , , , , , , , ,457,431
437, , ,s432, ,s433, , , , , , , , , , , , , , , , , , , , , , , , ,s434, , , , , , , , , , , , , ,458,431
438, , ,s460, ,s461, , , , , , , , , , , , , , , , , , , , , , , , ,s462, , , , , , , , , , , , , , ,459
439, , ,s460, ,s461, , , , , , , , , , , , , , , , , , , , , , , , ,s462, , , , , , , , , , , , , , ,463
440, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,s464, , , , , , , , , , , , , , 
441, , , , , , ,s165, , , , , , , ,s465, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
442, , ,s355, , , ,r19, , , ,s356,s357,s358,s359, ,s360, ,s361, , , , , , , , , , , , , , , , , , , , , ,466, , , , , 
443, , ,s355, , , ,r19, , , ,s356,s357,s358,s359, ,s360, ,s361, , , , , , , , , , , , , , , , , , , , , ,467, , , , , 
444, , ,r8, , , ,r8, ,r8, ,r8,r8,r8,r8, ,r8, ,r8, , , , , , , , , , , , , , , , , , , , , , , , , , , 
445, , , ,s468, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
446, , , , , , ,r35, , , , , , , ,r35, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
447, , , , , , ,r37, , , , , , , ,r37, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
448, , , , , , ,r38, , , , , , , ,r38, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
449, , ,s78, ,s79, , , , , , , , , , , , , , , , , , , , ,s74,s75, , ,s80, , , , , , , , , , , , ,469,76,77
450, , , , , , ,r36, , , , , , , ,r36, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
451, , , , , , ,r39, , , , , , , ,r39, , , , , , , , , , , , ,r39,r39, , , , , , , , , , , , , , , , 
452, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,s470, , , , , , , , , , , , , , 
453, , , , , , ,s471, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
454, , ,s473, ,s474, , , , , , , , , , , , , , , , , , , , , , , , ,s475, , , , , , , , , , , , , , ,472
455, , ,s473, ,s474, , , , , , , , , , , , , , , , , , , , , , , , ,s475, , , , , , , , , , , , , , ,476
456, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,s477, , , , , , , , , , , , , , 
457, , , , , , ,r31, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
458, , , , , , ,r32, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
459, , , , , , ,r35, , , , , , , , , , , , , , , , , , ,r35,r35, , , , , , , , , , , , , , , , , , 
460, , , , , , ,r37, , , , , , , , , , , , , , , , , , ,r37,r37, , , , , , , , , , , , , , , , , , 
461, , , , , , ,r38, , , , , , , , , , , , , , , , , , ,r38,r38, , , , , , , , , , , , , , , , , , 
462, , ,s78, ,s79, , , , , , , , , , , , , , , , , , , , ,s74,s75, , ,s80, , , , , , , , , , , , ,478,76,77
463, , , , , , ,r36, , , , , , , , , , , , , , , , , , ,r36,r36, , , , , , , , , , , , , , , , , , 
